Date,Last,
1/3/2011,329.57,XXXXX
1/4/2011,331.29,0.005218922
1/5/2011,334,0.008180144
1/6/2011,333.73,-0.000808383
1/7/2011,336.12,0.007161478
1/10/2011,342.455,0.018847435
1/11/2011,341.64,-0.002379875
1/12/2011,344.42,0.00813722
1/13/2011,345.68,0.003658324
1/14/2011,348.48,0.008099977
1/18/2011,340.65,-0.022469008
1/19/2011,338.84,-0.005313371
1/20/2011,332.68,-0.018179672
1/21/2011,326.72,-0.017915114
1/24/2011,337.45,0.032841577
1/25/2011,341.4,0.011705438
1/26/2011,343.85,0.007176333
1/27/2011,343.21,-0.001861277
1/28/2011,336.1,-0.02071618
1/31/2011,339.32,0.009580482
2/1/2011,345.03,0.016827773
2/2/2011,344.32,-0.002057792
2/3/2011,343.44,-0.002555762
2/4/2011,346.5,0.008909853
2/7/2011,351.88,0.015526696
2/8/2011,355.2,0.009435035
2/9/2011,358.16,0.008333333
2/10/2011,354.54,-0.010107215
2/11/2011,356.85,0.006515485
2/14/2011,359.18,0.006529354
2/15/2011,359.9,0.002004566
2/16/2011,363.13,0.008974715
2/17/2011,358.3,-0.013301022
2/18/2011,350.56,-0.021602009
2/22/2011,338.61,-0.034088316
2/23/2011,342.62,0.011842533
2/24/2011,342.88,0.000758858
2/25/2011,348.16,0.015398973
2/28/2011,353.21,0.014504825
3/1/2011,349.31,-0.01104159
3/2/2011,352.12,0.00804443
3/3/2011,359.56,0.021129161
3/4/2011,360,0.001223718
3/7/2011,355.36,-0.012888889
3/8/2011,355.76,0.001125619
3/9/2011,352.47,-0.009247808
3/10/2011,346.67,-0.016455301
3/11/2011,351.99,0.015346006
3/14/2011,353.56,0.004460354
3/15/2011,345.43,-0.022994683
3/16/2011,330.01,-0.044640014
3/17/2011,334.64,0.014029878
3/18/2011,330.67,-0.011863495
3/21/2011,339.3,0.026098527
3/22/2011,341.2,0.005599764
3/23/2011,339.19,-0.005890973
3/24/2011,344.97,0.017040597
3/25/2011,351.54,0.019045134
3/28/2011,350.44,-0.003129089
3/29/2011,350.96,0.001483849
3/30/2011,348.63,-0.006638933
3/31/2011,348.507,-0.00035281
4/1/2011,344.56,-0.011325454
4/4/2011,341.19,-0.00978059
4/5/2011,338.89,-0.006741112
4/6/2011,338.04,-0.002508188
4/7/2011,338.08,0.000118329
4/8/2011,335.06,-0.008932797
4/11/2011,330.8,-0.012714141
4/12/2011,332.4,0.004836759
4/13/2011,336.13,0.01122142
4/14/2011,332.42,-0.011037396
4/15/2011,327.46,-0.014920883
4/18/2011,331.85,0.013406218
4/19/2011,337.86,0.018110592
4/20/2011,342.41,0.013467117
4/21/2011,350.696,0.02419906
4/25/2011,353.009,0.006595456
4/26/2011,350.42,-0.007334091
4/27/2011,350.15,-0.000770504
4/28/2011,346.75,-0.009710124
4/29/2011,350.13,0.009747657
5/2/2011,346.28,-0.010995916
5/3/2011,348.2,0.005544646
5/4/2011,349.57,0.00393452
5/5/2011,346.75,-0.008067054
5/6/2011,346.66,-0.000259553
5/9/2011,347.6,0.002711591
5/10/2011,349.45,0.005322209
5/11/2011,347.23,-0.00635284
5/12/2011,346.57,-0.001900757
5/13/2011,340.5,-0.017514499
5/16/2011,333.3,-0.021145374
5/17/2011,336.14,0.008520852
5/18/2011,339.87,0.011096567
5/19/2011,340.53,0.001941919
5/20/2011,335.22,-0.01559334
5/23/2011,334.4,-0.002446155
5/24/2011,332.19,-0.006608852
5/25/2011,336.78,0.013817394
5/26/2011,335,-0.005285349
5/27/2011,337.41,0.00719403
5/31/2011,347.83,0.030882309
6/1/2011,345.51,-0.006669925
6/2/2011,346.102,0.001713409
6/3/2011,343.44,-0.007691374
6/6/2011,338.04,-0.01572327
6/7/2011,332.04,-0.017749379
6/8/2011,332.24,0.000602337
6/9/2011,331.49,-0.002257404
6/10/2011,325.9,-0.016863254
6/13/2011,326.6,0.002147898
6/14/2011,332.44,0.0178812
6/15/2011,326.75,-0.017115871
6/16/2011,325.16,-0.004866106
6/17/2011,320.26,-0.015069504
6/20/2011,315.32,-0.015424967
6/21/2011,325.3,0.031650387
6/22/2011,322.61,-0.00826929
6/23/2011,331.23,0.026719569
6/24/2011,326.35,-0.014732965
6/27/2011,332.04,0.017435269
6/28/2011,335.26,0.009697627
6/29/2011,334.04,-0.003638967
6/30/2011,335.67,0.004879655
7/1/2011,343.26,0.022611493
7/5/2011,349.43,0.017974713
7/6/2011,351.76,0.006668002
7/7/2011,357.2,0.01546509
7/8/2011,359.71,0.007026876
7/11/2011,354,-0.015873898
7/12/2011,353.75,-0.000706215
7/13/2011,358.02,0.012070671
7/14/2011,357.77,-0.000698285
7/15/2011,364.92,0.019984907
7/18/2011,373.8,0.024334101
7/19/2011,376.85,0.008159444
7/20/2011,386.9,0.026668436
7/21/2011,387.29,0.001008012
7/22/2011,393.3,0.015518087
7/25/2011,398.5,0.013221459
7/26/2011,403.41,0.012321205
7/27/2011,392.59,-0.026821348
7/28/2011,391.82,-0.001961334
7/29/2011,390.48,-0.003419938
8/1/2011,396.75,0.01605716
8/2/2011,388.91,-0.019760555
8/3/2011,392.57,0.009410918
8/4/2011,377.37,-0.038719209
8/5/2011,373.62,-0.009937197
8/8/2011,353.21,-0.054627697
8/9/2011,374.01,0.05888848
8/10/2011,363.69,-0.027592845
8/11/2011,373.7,0.02752344
8/12/2011,376.99,0.008803853
8/15/2011,383.41,0.017029629
8/16/2011,380.48,-0.00764195
8/17/2011,380.44,-0.00010513
8/18/2011,366.05,-0.037824624
8/19/2011,356.03,-0.02737331
8/22/2011,356.44,0.001151588
8/23/2011,373.6,0.048142745
8/24/2011,376.18,0.006905782
8/25/2011,373.72,-0.006539423
8/26/2011,383.58,0.026383389
8/29/2011,389.97,0.016658846
8/30/2011,389.99,5.13E-05
8/31/2011,384.83,-0.013231108
9/1/2011,381.03,-0.00987449
9/2/2011,374.05,-0.018318768
9/6/2011,379.74,0.01521187
9/7/2011,383.93,0.011033865
9/8/2011,384.14,0.000546975
9/9/2011,377.48,-0.017337429
9/12/2011,379.94,0.006516902
9/13/2011,384.62,0.012317734
9/14/2011,389.3,0.012167854
9/15/2011,392.96,0.00940149
9/16/2011,400.5,0.019187704
9/19/2011,411.63,0.027790262
9/20/2011,413.45,0.004421446
9/21/2011,412.14,-0.003168461
9/22/2011,401.82,-0.025040035
9/23/2011,404.3,0.006171918
9/26/2011,403.17,-0.002794954
9/27/2011,399.26,-0.009698142
9/28/2011,397.01,-0.005635426
9/29/2011,390.57,-0.016221254
9/30/2011,381.32,-0.023683335
10/3/2011,374.6,-0.017622994
10/4/2011,372.5,-0.00560598
10/5/2011,378.25,0.015436242
10/6/2011,377.37,-0.002326504
10/7/2011,369.8,-0.020059888
10/10/2011,388.81,0.051406165
10/11/2011,400.29,0.02952599
10/12/2011,402.19,0.004746559
10/13/2011,408.43,0.015515055
10/14/2011,422,0.033224788
10/17/2011,419.99,-0.004763033
10/18/2011,422.24,0.00535727
10/19/2011,398.62,-0.05593975
10/20/2011,395.31,-0.008303648
10/21/2011,392.87,-0.006172371
10/24/2011,405.77,0.032835289
10/25/2011,397.77,-0.019715602
10/26/2011,400.6,0.007114664
10/27/2011,404.69,0.010209685
10/28/2011,404.95,0.000642467
10/31/2011,404.78,-0.000419805
11/1/2011,396.51,-0.020430851
11/2/2011,397.41,0.002269804
11/3/2011,403.07,0.014242218
11/4/2011,400.24,-0.007021113
11/7/2011,399.73,-0.001274235
11/8/2011,406.23,0.016260976
11/9/2011,395.28,-0.026955173
11/10/2011,385.22,-0.025450314
11/11/2011,384.62,-0.001557552
11/14/2011,379.26,-0.013935833
11/15/2011,388.83,0.025233349
11/16/2011,384.77,-0.010441581
11/17/2011,377.41,-0.01912831
11/18/2011,374.94,-0.006544607
11/21/2011,369.01,-0.015815864
11/22/2011,376.51,0.020324652
11/23/2011,366.99,-0.025284853
11/25/2011,363.57,-0.009319055
11/28/2011,376.12,0.0345188
11/29/2011,373.2,-0.00776348
11/30/2011,382.2,0.024115756
12/1/2011,387.93,0.014992151
12/2/2011,389.7,0.004562679
12/5/2011,393.01,0.008493713
12/6/2011,390.95,-0.005241597
12/7/2011,389.09,-0.004757642
12/8/2011,390.66,0.004035056
12/9/2011,393.62,0.007576921
12/12/2011,391.84,-0.004522128
12/13/2011,388.81,-0.007732748
12/14/2011,380.19,-0.022170212
12/15/2011,378.94,-0.00328783
12/16/2011,381.02,0.005488996
12/19/2011,382.21,0.003123196
12/20/2011,395.95,0.035948824
12/21/2011,396.445,0.001250158
12/22/2011,398.55,0.00530969
12/23/2011,403.33,0.011993476
12/27/2011,406.53,0.00793395
12/28/2011,402.64,-0.00956879
12/29/2011,405.12,0.006159348
12/30/2011,405,-0.000296209
